STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,wrkstat,Workstation,severity,Severity (days lost),nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,DE,Germany,2016,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,DE,Germany,2017,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,DE,Germany,2018,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,DE,Germany,2019,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,DE,Germany,2020,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,DE,Germany,2021,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,DE,Germany,2022,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,DE,Germany,2023,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,ES,Spain,2014,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,ES,Spain,2015,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,ES,Spain,2016,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,ES,Spain,2017,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,ES,Spain,2018,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,ES,Spain,2019,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,ES,Spain,2020,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,ES,Spain,2021,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,ES,Spain,2022,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,ES,Spain,2023,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,FR,France,2014,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,FR,France,2015,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,FR,France,2016,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,FR,France,2017,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,FR,France,2018,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,FR,France,2019,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,FR,France,2020,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,FR,France,2021,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,FR,France,2022,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,FR,France,2023,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,HU,Hungary,2014,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,HU,Hungary,2015,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,HU,Hungary,2016,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,HU,Hungary,2017,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,HU,Hungary,2018,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,HU,Hungary,2019,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,HU,Hungary,2020,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,HU,Hungary,2021,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,HU,Hungary,2022,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,HU,Hungary,2023,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,IT,Italy,2014,,2,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,IT,Italy,2015,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,IT,Italy,2016,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,IT,Italy,2017,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,IT,Italy,2018,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,IT,Italy,2019,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,IT,Italy,2020,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,IT,Italy,2021,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,IT,Italy,2022,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,IT,Italy,2023,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,NL,Netherlands,2014,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,NL,Netherlands,2015,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,NL,Netherlands,2016,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,NL,Netherlands,2017,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,NL,Netherlands,2018,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,NL,Netherlands,2019,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,NL,Netherlands,2020,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,NL,Netherlands,2021,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,NL,Netherlands,2022,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,NL,Netherlands,2023,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,PL,Poland,2014,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,PL,Poland,2015,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,PL,Poland,2016,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,PL,Poland,2017,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,PL,Poland,2018,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,PL,Poland,2019,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,PL,Poland,2020,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,PL,Poland,2021,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,PL,Poland,2022,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,PL,Poland,2023,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,RO,Romania,2014,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,RO,Romania,2015,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,RO,Romania,2016,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,RO,Romania,2017,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,RO,Romania,2018,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,RO,Romania,2019,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,RO,Romania,2020,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,RO,Romania,2021,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,RO,Romania,2022,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,RO,Romania,2023,,0,,,,,
