STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),isco08,International Standard Classification of Occupations 2008 (ISCO-08),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2014,,225.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2015,,228.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2016,,240.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2017,,227.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2018,,231.5,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2019,,233.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2020,,231.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2021,,235.5,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2022,,228.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2023,,218.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,B,Mining and quarrying,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2014,,3.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,B,Mining and quarrying,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2015,,2.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,B,Mining and quarrying,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2016,,4.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,B,Mining and quarrying,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2017,,6.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,B,Mining and quarrying,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2018,,3.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,B,Mining and quarrying,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2019,,2.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,B,Mining and quarrying,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2020,,4.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,B,Mining and quarrying,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2021,,4.9,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,B,Mining and quarrying,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2022,,3.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,B,Mining and quarrying,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2023,,2.7,,u,low reliability,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2014,,1093.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2015,,1090.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2016,,1082.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2017,,1084.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2018,,1113.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2019,,1122.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2020,,1102.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2021,,1089.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2022,,1170.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2023,,1179.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2014,,24.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2015,,24.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2016,,27.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2017,,28.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2018,,28.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2019,,29.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2020,,28.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2021,,32.0,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2022,,34.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2023,,39.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2014,,31.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2015,,34.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2016,,30.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2017,,28.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2018,,34.0,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2019,,38.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2020,,40.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2021,,43.8,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2022,,44.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2023,,42.0,,,,,
