STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),isco08,International Standard Classification of Occupations 2008 (ISCO-08),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2015,,4121.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2016,,4148.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2017,,4187.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2018,,4232.4,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2019,,4287.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2020,,4245.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2021,,4184.6,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2022,,4258.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,C,Manufacturing,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2023,,4320.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2014,,107.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2015,,113.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2016,,125.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2017,,120.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2018,,108.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2019,,113.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2020,,115.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2021,,112.9,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2022,,118.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,D,"Electricity, gas, steam and air conditioning supply",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2023,,146.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2014,,228.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2015,,237.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2016,,234.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2017,,230.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2018,,246.3,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2019,,241.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2020,,241.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2021,,248.9,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2022,,248.5,,,,,
