STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",T,Total,IT,Italy,2014,,973,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",T,Total,IT,Italy,2015,,841,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",T,Total,IT,Italy,2016,,784,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",T,Total,IT,Italy,2017,,708,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",T,Total,IT,Italy,2018,,695,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",T,Total,IT,Italy,2019,,655,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",T,Total,IT,Italy,2020,,542,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",T,Total,IT,Italy,2021,,458,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",T,Total,IT,Italy,2022,,390,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",T,Total,IT,Italy,2023,,373,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",T,Total,IT,Italy,2014,,7722,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",T,Total,IT,Italy,2015,,7614,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",T,Total,IT,Italy,2016,,7697,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",T,Total,IT,Italy,2017,,7909,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",T,Total,IT,Italy,2018,,7521,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",T,Total,IT,Italy,2019,,7602,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",T,Total,IT,Italy,2020,,5490,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",T,Total,IT,Italy,2021,,7459,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",T,Total,IT,Italy,2022,,8728,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",T,Total,IT,Italy,2023,,9079,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,F,Construction,T,Total,IT,Italy,2014,,33005,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,F,Construction,T,Total,IT,Italy,2015,,30811,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,F,Construction,T,Total,IT,Italy,2016,,29935,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,F,Construction,T,Total,IT,Italy,2017,,29616,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,F,Construction,T,Total,IT,Italy,2018,,28105,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,F,Construction,T,Total,IT,Italy,2019,,27229,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,F,Construction,T,Total,IT,Italy,2020,,20903,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,F,Construction,T,Total,IT,Italy,2021,,27672,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,F,Construction,T,Total,IT,Italy,2022,,31473,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,F,Construction,T,Total,IT,Italy,2023,,32774,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,T,Total,IT,Italy,2014,,33134,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,T,Total,IT,Italy,2015,,31735,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,T,Total,IT,Italy,2016,,31713,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,T,Total,IT,Italy,2017,,31594,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,T,Total,IT,Italy,2018,,30683,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,T,Total,IT,Italy,2019,,29674,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,T,Total,IT,Italy,2020,,22344,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,T,Total,IT,Italy,2021,,24772,,,,,
