wri_tot_id,structure,severity_id,time_frequency,unit_description,activity_id,sex_id,country_id,time_period,obs_value,observation_status,employment_h,casualties_x1k,m_employment_h,f_employment_h,m_casualties,f_casualties,m_casualties_x1km,f_casualties_x1kf
46,dataflow,FAT,Annual,Number,H,UNK,FR,2020,86,break in time series,1385,0.06,1028.13,356.87,68.2,17.8,0.07,0.05
47,dataflow,FAT,Annual,Number,H,UNK,FR,2021,93,,1411.6,0.07,1047.1,364.5,73.75,19.25,0.07,0.05
48,dataflow,FAT,Annual,Number,H,UNK,FR,2022,120,break in time series,1443.9,0.08,1059.9,384,95.16,24.84,0.09,0.06
49,dataflow,FAT,Annual,Number,H,UNK,FR,2023,120,,1445.7,0.08,1063.8,381.9,95.16,24.84,0.09,0.07
50,dataflow,FAT,Annual,Number,H,UNK,HU,2014,13,,258.7,0.05,191.4,67.3,9.66,3.34,0.05,0.05
51,dataflow,FAT,Annual,Number,H,UNK,HU,2015,21,,266.8,0.08,198.2,68.6,15.61,5.39,0.08,0.08
52,dataflow,FAT,Annual,Number,H,UNK,HU,2016,13,,276.2,0.05,210,66.2,9.66,3.34,0.05,0.05
53,dataflow,FAT,Annual,Number,H,UNK,HU,2017,15,,294,0.05,225.2,68.8,11.15,3.85,0.05,0.06
54,dataflow,FAT,Annual,Number,H,UNK,HU,2018,11,,289.8,0.04,220.2,69.6,8.18,2.82,0.04,0.04
55,dataflow,FAT,Annual,Number,H,UNK,HU,2019,11,,301.9,0.04,233.1,68.8,8.18,2.82,0.04,0.04
56,dataflow,FAT,Annual,Number,H,UNK,HU,2020,10,break in time series,276.9,0.04,213.3,63.6,7.43,2.57,0.03,0.04
57,dataflow,FAT,Annual,Number,H,UNK,HU,2021,19,,284.7,0.07,214.7,70,14.12,4.88,0.07,0.07
58,dataflow,FAT,Annual,Number,H,UNK,HU,2022,9,,288.2,0.03,217.7,70.5,6.69,2.31,0.03,0.03
59,dataflow,FAT,Annual,Number,H,UNK,HU,2023,13,,293.8,0.04,223.1,70.7,9.66,3.34,0.04,0.05
60,dataflow,FAT,Annual,Number,H,UNK,IT,2014,59,,1039.1,0.06,826.22,212.88,49.27,9.73,0.06,0.05
61,dataflow,FAT,Annual,Number,H,UNK,IT,2015,66,,1033,0.06,819.32,213.68,55.12,10.88,0.07,0.05
62,dataflow,FAT,Annual,Number,H,UNK,IT,2016,64,,1084.9,0.06,863.8,221.1,53.45,10.55,0.06,0.05
63,dataflow,FAT,Annual,Number,H,UNK,IT,2017,58,,1109.5,0.05,886.32,223.18,48.44,9.56,0.05,0.04
64,dataflow,FAT,Annual,Number,H,UNK,IT,2018,71,,1117.7,0.06,886.92,230.78,59.29,11.71,0.07,0.05
65,dataflow,FAT,Annual,Number,H,UNK,IT,2019,57,,1131.8,0.05,898.2,233.6,47.6,9.4,0.05,0.04
66,dataflow,FAT,Annual,Number,H,UNK,IT,2020,77,break in time series,1114.2,0.07,887.2,227,64.3,12.7,0.07,0.06
67,dataflow,FAT,Annual,Number,H,UNK,IT,2021,89,,1141.3,0.08,915.2,226.1,74.32,14.68,0.08,0.06
68,dataflow,FAT,Annual,Number,H,UNK,IT,2022,71,,1167.3,0.06,929.5,237.8,59.29,11.71,0.06,0.05
69,dataflow,FAT,Annual,Number,H,UNK,IT,2023,56,,1180,0.05,935,245,46.77,9.23,0.05,0.04
70,dataflow,FAT,Annual,Number,H,UNK,NL,2014,5,break in time series,357.7,0.01,271.6,86.1,3.76,1.24,0.01,0.01
71,dataflow,FAT,Annual,Number,H,UNK,NL,2015,5,,356.1,0.01,269.2,86.9,3.76,1.24,0.01,0.01
72,dataflow,FAT,Annual,Number,H,UNK,NL,2016,4,,374.2,0.01,281.2,93,3.01,0.99,0.01,0.01
73,dataflow,FAT,Annual,Number,H,UNK,NL,2017,6,,384,0.02,291.8,92.2,4.51,1.49,0.02,0.02
74,dataflow,FAT,Annual,Number,H,UNK,NL,2018,8,,403.4,0.02,307.7,95.7,6.02,1.98,0.02,0.02
75,dataflow,FAT,Annual,Number,H,UNK,NL,2019,7,,394.1,0.02,298.5,95.6,5.26,1.74,0.02,0.02
76,dataflow,FAT,Annual,Number,H,UNK,NL,2020,2,break in time series,367.5,0.01,285.6,81.9,1.5,0.5,0.01,0.01
77,dataflow,FAT,Annual,Number,H,UNK,NL,2021,3,,460.2,0.01,352.9,107.3,2.26,0.74,0.01,0.01
78,dataflow,FAT,Annual,Number,H,UNK,NL,2022,4,,450.9,0.01,346.7,104.2,3.01,0.99,0.01,0.01
79,dataflow,FAT,Annual,Number,H,UNK,NL,2023,6,,453.7,0.01,344.82,108.88,4.51,1.49,0.01,0.01
80,dataflow,FAT,Annual,Number,H,UNK,PL,2014,42,,927,0.05,733.5,193.5,31.46,10.54,0.04,0.05
81,dataflow,FAT,Annual,Number,H,UNK,PL,2015,49,,944.4,0.05,753.7,190.7,36.71,12.29,0.05,0.06
82,dataflow,FAT,Annual,Number,H,UNK,PL,2016,38,,969.7,0.04,776.8,192.9,28.47,9.53,0.04,0.05
83,dataflow,FAT,Annual,Number,H,UNK,PL,2017,56,,1014.1,0.06,819.5,194.6,41.95,14.05,0.05,0.07
84,dataflow,FAT,Annual,Number,H,UNK,PL,2018,33,,1039.2,0.03,832.7,206.5,24.72,8.28,0.03,0.04
85,dataflow,FAT,Annual,Number,H,UNK,PL,2019,27,,1068.9,0.03,841.32,227.58,20.23,6.77,0.02,0.03
86,dataflow,FAT,Annual,Number,H,UNK,PL,2020,40,break in time series,1119.2,0.04,882.7,236.5,29.97,10.03,0.03,0.04
87,dataflow,FAT,Annual,Number,H,UNK,PL,2021,37,,1165.3,0.03,931.3,234,27.72,9.28,0.03,0.04
88,dataflow,FAT,Annual,Number,H,UNK,PL,2022,19,,1134.1,0.02,887.8,246.3,14.23,4.77,0.02,0.02
89,dataflow,FAT,Annual,Number,H,UNK,PL,2023,29,,1130.8,0.03,891.5,239.3,21.72,7.28,0.02,0.03
90,dataflow,FAT,Annual,Number,H,UNK,RO,2014,44,,432.3,0.1,358.2,74.1,38,6,0.11,0.08
