wri_it_id,structure,severity_id,time_frequency,unit_description,activity_id,sex_id,country_id,time_period,obs_value,observation_status,employment_au,casualties_x1k,m_casualties,f_casualties,m_employment_au,f_employment_au,m_casualties_x1km,f_casualties_x1kf
47,dataflow,FAT,Annual,Number,E,UNK,IT,2021,11,,248.9,0.04,9.07,1.93,205.12,43.78,0.04,0.04
48,dataflow,FAT,Annual,Number,E,UNK,IT,2022,8,,248.5,0.03,6.58,1.42,204.32,44.18,0.03,0.03
49,dataflow,FAT,Annual,Number,E,UNK,IT,2023,13,,253.6,0.05,10.85,2.15,211.62,41.98,0.05,0.05
50,dataflow,FAT,Annual,Number,F,UNK,IT,2014,105,,1483.9,0.07,98.21,6.79,1387.9,96,0.07,0.07
51,dataflow,FAT,Annual,Number,F,UNK,IT,2015,133,,1468.2,0.09,124.43,8.57,1373.6,94.6,0.09,0.09
52,dataflow,FAT,Annual,Number,F,UNK,IT,2016,115,,1403.7,0.08,107.74,7.26,1315.1,88.6,0.08,0.08
53,dataflow,FAT,Annual,Number,F,UNK,IT,2017,89,,1415.8,0.06,83.24,5.76,1324.09,91.71,0.06,0.06
54,dataflow,FAT,Annual,Number,F,UNK,IT,2018,123,,1385.3,0.09,114.88,8.12,1293.79,91.51,0.09,0.09
55,dataflow,FAT,Annual,Number,F,UNK,IT,2019,92,,1323.1,0.07,85.88,6.12,1235.1,88,0.07,0.07
56,dataflow,FAT,Annual,Number,F,UNK,IT,2020,103,break in time series,1341.5,0.08,95.2,7.8,1239.9,101.6,0.08,0.08
57,dataflow,FAT,Annual,Number,F,UNK,IT,2021,133,,1430.8,0.09,123.26,9.74,1326,104.8,0.09,0.09
58,dataflow,FAT,Annual,Number,F,UNK,IT,2022,106,,1550.7,0.07,98.04,7.96,1434.2,116.5,0.07,0.07
59,dataflow,FAT,Annual,Number,F,UNK,IT,2023,141,,1530.9,0.09,130.53,10.47,1417.2,113.7,0.09,0.09
60,dataflow,FAT,Annual,Number,G,UNK,IT,2014,38,,3226.5,0.01,22.24,15.76,1888,1338.5,0.01,0.01
61,dataflow,FAT,Annual,Number,G,UNK,IT,2015,40,,3194,0.01,23.42,16.58,1869.84,1324.16,0.01,0.01
62,dataflow,FAT,Annual,Number,G,UNK,IT,2016,37,,3241.3,0.01,21.99,15.01,1926.66,1314.64,0.01,0.01
63,dataflow,FAT,Annual,Number,G,UNK,IT,2017,43,,3287.1,0.01,25.45,17.55,1945.5,1341.6,0.01,0.01
64,dataflow,FAT,Annual,Number,G,UNK,IT,2018,28,,3255.5,0.01,16.57,11.43,1926.14,1329.36,0.01,0.01
65,dataflow,FAT,Annual,Number,G,UNK,IT,2019,26,,3256,0.01,15.2,10.8,1903,1353,0.01,0.01
66,dataflow,FAT,Annual,Number,G,UNK,IT,2020,58,break in time series,3154.9,0.02,33.64,24.36,1830,1324.9,0.02,0.02
67,dataflow,FAT,Annual,Number,G,UNK,IT,2021,50,,3106.6,0.02,29.15,20.85,1811.04,1295.56,0.02,0.02
68,dataflow,FAT,Annual,Number,G,UNK,IT,2022,43,,3137.1,0.01,25.06,17.94,1828.4,1308.7,0.01,0.01
69,dataflow,FAT,Annual,Number,G,UNK,IT,2023,44,,3189.8,0.01,25.3,18.7,1833.94,1355.86,0.01,0.01
70,dataflow,FAT,Annual,Number,H,UNK,IT,2014,59,,1039.1,0.06,46.91,12.09,826.22,212.88,0.06,0.06
71,dataflow,FAT,Annual,Number,H,UNK,IT,2015,66,,1033,0.06,52.35,13.65,819.32,213.68,0.06,0.06
72,dataflow,FAT,Annual,Number,H,UNK,IT,2016,64,,1084.9,0.06,50.96,13.04,863.8,221.1,0.06,0.06
73,dataflow,FAT,Annual,Number,H,UNK,IT,2017,58,,1109.5,0.05,46.33,11.67,886.32,223.18,0.05,0.05
74,dataflow,FAT,Annual,Number,H,UNK,IT,2018,71,,1117.7,0.06,56.34,14.66,886.92,230.78,0.06,0.06
75,dataflow,FAT,Annual,Number,H,UNK,IT,2019,57,,1131.8,0.05,45.24,11.76,898.2,233.6,0.05,0.05
76,dataflow,FAT,Annual,Number,H,UNK,IT,2020,77,break in time series,1114.2,0.07,61.31,15.69,887.2,227,0.07,0.07
77,dataflow,FAT,Annual,Number,H,UNK,IT,2021,89,,1141.3,0.08,71.37,17.63,915.2,226.1,0.08,0.08
78,dataflow,FAT,Annual,Number,H,UNK,IT,2022,71,,1167.3,0.06,56.54,14.46,929.5,237.8,0.06,0.06
79,dataflow,FAT,Annual,Number,H,UNK,IT,2023,56,,1180,0.05,44.37,11.63,935,245,0.05,0.05
80,dataflow,FAT,Annual,Number,I,UNK,IT,2014,22,,1269.4,0.02,10.63,11.37,613.3,656.1,0.02,0.02
81,dataflow,FAT,Annual,Number,I,UNK,IT,2015,10,,1333.9,0.01,4.99,5.01,665.4,668.5,0.01,0.01
82,dataflow,FAT,Annual,Number,I,UNK,IT,2016,16,,1394.9,0.01,7.82,8.18,682.1,712.8,0.01,0.01
83,dataflow,FAT,Annual,Number,I,UNK,IT,2017,18,,1451,0.01,8.9,9.1,717.5,733.5,0.01,0.01
84,dataflow,FAT,Annual,Number,I,UNK,IT,2018,17,,1438.8,0.01,8.35,8.65,707.05,731.75,0.01,0.01
85,dataflow,FAT,Annual,Number,I,UNK,IT,2019,18,,1456.8,0.01,8.88,9.12,718.6,738.2,0.01,0.01
86,dataflow,FAT,Annual,Number,I,UNK,IT,2020,13,break in time series,1291,0.01,6.61,6.39,656.15,634.85,0.01,0.01
87,dataflow,FAT,Annual,Number,I,UNK,IT,2021,12,,1202.8,0.01,5.87,6.13,588.1,614.7,0.01,0.01
88,dataflow,FAT,Annual,Number,I,UNK,IT,2022,15,,1405,0.01,7.48,7.52,700.9,704.1,0.01,0.01
89,dataflow,FAT,Annual,Number,I,UNK,IT,2023,12,,1511.1,0.01,5.97,6.03,751.6,759.5,0.01,0.01
90,dataflow,FAT,Annual,Number,J,UNK,IT,2014,4,,551.4,0.01,2.83,1.17,390.3,161.1,0.01,0.01
91,dataflow,FAT,Annual,Number,J,UNK,IT,2015,1,,561.5,0,0.69,0.31,388.9,172.6,0,0
92,dataflow,FAT,Annual,Number,J,UNK,IT,2016,3,,562,0.01,2.06,0.94,386.6,175.4,0.01,0.01
93,dataflow,FAT,Annual,Number,J,UNK,IT,2017,5,,564.7,0.01,3.49,1.51,394.6,170.1,0.01,0.01
94,dataflow,FAT,Annual,Number,J,UNK,IT,2018,1,,598.6,0,0.71,0.29,426.9,171.7,0,0
95,dataflow,FAT,Annual,Number,J,UNK,IT,2019,4,,614,0.01,2.82,1.18,432.5,181.5,0.01,0.01
96,dataflow,FAT,Annual,Number,J,UNK,IT,2020,2,break in time series,614.7,0,1.4,0.6,429.5,185.2,0,0
97,dataflow,FAT,Annual,Number,J,UNK,IT,2021,4,,655.7,0.01,2.8,1.2,459.3,196.4,0.01,0.01
98,dataflow,FAT,Annual,Number,J,UNK,IT,2022,7,,688.5,0.01,4.86,2.14,478.1,210.4,0.01,0.01
99,dataflow,FAT,Annual,Number,J,UNK,IT,2023,3,,776.1,0,2.12,0.88,547.57,228.53,0,0
100,dataflow,FAT,Annual,Number,K,UNK,IT,2014,7,,611.6,0.01,3.82,3.18,334,277.6,0.01,0.01
101,dataflow,FAT,Annual,Number,K,UNK,IT,2015,1,,643.7,0,0.55,0.45,352.3,291.4,0,0
102,dataflow,FAT,Annual,Number,K,UNK,IT,2016,1,,648.8,0,0.56,0.44,362.86,285.94,0,0
103,dataflow,FAT,Annual,Number,K,UNK,IT,2017,1,,637.7,0,0.55,0.45,352.1,285.6,0,0
104,dataflow,FAT,Annual,Number,K,UNK,IT,2018,3,,638.9,0,1.67,1.33,355.66,283.24,0,0
105,dataflow,FAT,Annual,Number,K,UNK,IT,2019,0,,633.5,0,0,0,347.7,285.8,0,0
106,dataflow,FAT,Annual,Number,K,UNK,IT,2020,7,break in time series,616.3,0.01,3.72,3.28,327.7,288.6,0.01,0.01
107,dataflow,FAT,Annual,Number,K,UNK,IT,2021,2,,625.1,0,1.04,0.96,325.5,299.6,0,0
