STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),isco08,International Standard Classification of Occupations 2008 (ISCO-08),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,BE,Belgium,2023,,57.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,BG,Bulgaria,2014,,37.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,BG,Bulgaria,2015,,38.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,BG,Bulgaria,2016,,41.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,BG,Bulgaria,2017,,41.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,BG,Bulgaria,2018,,37.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,BG,Bulgaria,2019,,36.6,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,BG,Bulgaria,2020,,37.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,BG,Bulgaria,2021,,36.8,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,BG,Bulgaria,2022,,38.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,BG,Bulgaria,2023,,38.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CH,Switzerland,2014,,54.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CH,Switzerland,2015,,53.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CH,Switzerland,2016,,54.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CH,Switzerland,2017,,52.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CH,Switzerland,2018,,56.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CH,Switzerland,2019,,53.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CH,Switzerland,2020,,55.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CH,Switzerland,2021,,49.9,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CH,Switzerland,2022,,53.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CH,Switzerland,2023,,56.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CY,Cyprus,2014,,4.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CY,Cyprus,2015,,4.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CY,Cyprus,2016,,4.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CY,Cyprus,2017,,4.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CY,Cyprus,2018,,5.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CY,Cyprus,2019,,4.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CY,Cyprus,2020,,4.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CY,Cyprus,2021,,5.2,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CY,Cyprus,2022,,6.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CY,Cyprus,2023,,6.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CZ,Czechia,2014,,82.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CZ,Czechia,2015,,77.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,CZ,Czechia,2016,,81.1,,,,,
