STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,DE,Germany,2021,,89,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,DE,Germany,2022,,70,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,DE,Germany,2023,,79,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,ES,Spain,2014,,63,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,ES,Spain,2015,,64,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,ES,Spain,2016,,70,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,ES,Spain,2017,,70,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,ES,Spain,2018,,70,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,ES,Spain,2019,,68,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,ES,Spain,2020,,63,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,ES,Spain,2021,,71,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,ES,Spain,2022,,68,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,ES,Spain,2023,,75,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,FR,France,2014,,102,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,FR,France,2015,,90,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,FR,France,2016,,92,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,FR,France,2017,,85,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,FR,France,2018,,97,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,FR,France,2019,,104,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,FR,France,2020,,86,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,FR,France,2021,,93,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,FR,France,2022,,120,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,FR,France,2023,,120,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,HU,Hungary,2014,,13,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,HU,Hungary,2015,,21,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,HU,Hungary,2016,,13,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,HU,Hungary,2017,,15,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,HU,Hungary,2018,,11,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,HU,Hungary,2019,,11,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,HU,Hungary,2020,,10,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,HU,Hungary,2021,,19,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,HU,Hungary,2022,,9,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,HU,Hungary,2023,,13,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2014,,59,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2015,,66,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2016,,64,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2017,,58,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2018,,71,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2019,,57,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2020,,77,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2021,,89,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2022,,71,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2023,,56,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,NL,Netherlands,2014,,5,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,NL,Netherlands,2015,,5,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,NL,Netherlands,2016,,4,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,NL,Netherlands,2017,,6,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,NL,Netherlands,2018,,8,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,NL,Netherlands,2019,,7,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,NL,Netherlands,2020,,2,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,NL,Netherlands,2021,,3,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,NL,Netherlands,2022,,4,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,NL,Netherlands,2023,,6,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,PL,Poland,2014,,42,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,PL,Poland,2015,,49,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,PL,Poland,2016,,38,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,PL,Poland,2017,,56,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,PL,Poland,2018,,33,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,PL,Poland,2019,,27,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,PL,Poland,2020,,40,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,PL,Poland,2021,,37,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,PL,Poland,2022,,19,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,PL,Poland,2023,,29,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,RO,Romania,2014,,44,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,RO,Romania,2015,,35,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,RO,Romania,2016,,40,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,RO,Romania,2017,,28,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,RO,Romania,2018,,42,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,RO,Romania,2019,,26,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,RO,Romania,2020,,22,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,RO,Romania,2021,,23,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,RO,Romania,2022,,17,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,RO,Romania,2023,,23,,,,,
