STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,BE,Belgium,2014,,8,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,BE,Belgium,2015,,14,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,BE,Belgium,2016,,14,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,BE,Belgium,2017,,12,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,BE,Belgium,2018,,22,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,BE,Belgium,2019,,9,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,BE,Belgium,2020,,11,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,BE,Belgium,2021,,7,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,BE,Belgium,2022,,11,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,BE,Belgium,2023,,14,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,CZ,Czechia,2014,,22,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,CZ,Czechia,2015,,22,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,CZ,Czechia,2016,,23,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,CZ,Czechia,2017,,16,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,CZ,Czechia,2018,,19,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,CZ,Czechia,2019,,21,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,CZ,Czechia,2020,,18,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,CZ,Czechia,2021,,13,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,CZ,Czechia,2022,,13,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,CZ,Czechia,2023,,16,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,DE,Germany,2014,,85,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,DE,Germany,2015,,97,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,DE,Germany,2016,,79,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,DE,Germany,2017,,79,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,DE,Germany,2018,,66,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,DE,Germany,2019,,75,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,DE,Germany,2020,,49,,b,break in time series,,
