STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,O,Public administration and defence; compulsory social security,IT,Italy,2014,,8,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,O,Public administration and defence; compulsory social security,IT,Italy,2015,,7,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,O,Public administration and defence; compulsory social security,IT,Italy,2016,,9,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,O,Public administration and defence; compulsory social security,IT,Italy,2017,,5,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,O,Public administration and defence; compulsory social security,IT,Italy,2018,,11,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,O,Public administration and defence; compulsory social security,IT,Italy,2019,,9,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,O,Public administration and defence; compulsory social security,IT,Italy,2020,,55,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,O,Public administration and defence; compulsory social security,IT,Italy,2021,,36,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,O,Public administration and defence; compulsory social security,IT,Italy,2022,,5,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,O,Public administration and defence; compulsory social security,IT,Italy,2023,,9,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,P,Education,IT,Italy,2014,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,P,Education,IT,Italy,2015,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,P,Education,IT,Italy,2016,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,P,Education,IT,Italy,2017,,1,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,P,Education,IT,Italy,2018,,2,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,P,Education,IT,Italy,2019,,3,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,P,Education,IT,Italy,2020,,2,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,P,Education,IT,Italy,2021,,3,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,P,Education,IT,Italy,2022,,3,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,P,Education,IT,Italy,2023,,2,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,Q,Human health and social work activities,IT,Italy,2014,,5,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,Q,Human health and social work activities,IT,Italy,2015,,8,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,Q,Human health and social work activities,IT,Italy,2016,,5,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,Q,Human health and social work activities,IT,Italy,2017,,10,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,Q,Human health and social work activities,IT,Italy,2018,,6,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,Q,Human health and social work activities,IT,Italy,2019,,4,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,Q,Human health and social work activities,IT,Italy,2020,,95,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,Q,Human health and social work activities,IT,Italy,2021,,13,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,Q,Human health and social work activities,IT,Italy,2022,,10,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,Q,Human health and social work activities,IT,Italy,2023,,7,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,R,"Arts, entertainment and recreation",IT,Italy,2014,,3,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,R,"Arts, entertainment and recreation",IT,Italy,2015,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,R,"Arts, entertainment and recreation",IT,Italy,2016,,4,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,R,"Arts, entertainment and recreation",IT,Italy,2017,,7,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,R,"Arts, entertainment and recreation",IT,Italy,2018,,2,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,R,"Arts, entertainment and recreation",IT,Italy,2019,,2,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,R,"Arts, entertainment and recreation",IT,Italy,2020,,2,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,R,"Arts, entertainment and recreation",IT,Italy,2021,,1,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,R,"Arts, entertainment and recreation",IT,Italy,2022,,3,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,R,"Arts, entertainment and recreation",IT,Italy,2023,,1,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,S,Other service activities,IT,Italy,2014,,2,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,S,Other service activities,IT,Italy,2015,,6,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,S,Other service activities,IT,Italy,2016,,4,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,S,Other service activities,IT,Italy,2017,,4,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,S,Other service activities,IT,Italy,2018,,8,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,S,Other service activities,IT,Italy,2019,,3,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,S,Other service activities,IT,Italy,2020,,8,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,S,Other service activities,IT,Italy,2021,,6,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,S,Other service activities,IT,Italy,2022,,5,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,S,Other service activities,IT,Italy,2023,,4,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,IT,Italy,2014,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,IT,Italy,2015,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,IT,Italy,2016,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,IT,Italy,2017,,1,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,IT,Italy,2018,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,IT,Italy,2019,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,IT,Italy,2020,,0,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,IT,Italy,2021,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,IT,Italy,2022,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,IT,Italy,2023,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,U,Activities of extraterritorial organisations and bodies,IT,Italy,2014,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,U,Activities of extraterritorial organisations and bodies,IT,Italy,2015,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,U,Activities of extraterritorial organisations and bodies,IT,Italy,2016,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,U,Activities of extraterritorial organisations and bodies,IT,Italy,2017,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,U,Activities of extraterritorial organisations and bodies,IT,Italy,2018,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,U,Activities of extraterritorial organisations and bodies,IT,Italy,2019,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,U,Activities of extraterritorial organisations and bodies,IT,Italy,2020,,0,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,U,Activities of extraterritorial organisations and bodies,IT,Italy,2021,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,U,Activities of extraterritorial organisations and bodies,IT,Italy,2022,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,U,Activities of extraterritorial organisations and bodies,IT,Italy,2023,,0,,,,,
